Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.7738095238095238,0.7878787878787878,0.6842105263157895,0.7323943661971831,0.8215102974828375
Random Forest,0.7261904761904762,0.7027027027027027,0.6842105263157895,0.6933333333333334,0.7745995423340961
Gradient Boosting,0.6547619047619048,0.6153846153846154,0.631578947368421,0.6233766233766234,0.7362700228832951
XGBoost (HistGB),0.6071428571428571,0.5714285714285714,0.5263157894736842,0.547945205479452,0.6435926773455378
Decision Tree,0.5714285714285714,0.5357142857142857,0.39473684210526316,0.45454545454545453,0.6335812356979404
